Booking ID,Booking Date,Travel Date,Lead Time (Days),Origin,Destination,Airline Name,Flight Number,Flight Distance (km),Passenger Type,Class,Ticket Price (INR),Payment Method,Booking Channel,Booking Status,Cancellation Reason,Customer Satisfaction Rating
BKG100022,13-04-2023,05-07-2023,83,BLR,HYD,SpiceJet,SG245,500,Adult,Economy,1350,UPI,Airline App,Confirmed,,5
BKG100023,22-06-2023,06-07-2023,14,BOM,DEL,SpiceJet,SG918,1150,Adult,Economy,3158,Card,Airline App,Confirmed,,2
BKG100024,13-03-2023,01-05-2023,49,DEL,HYD,Akasa,QP500,1260,Adult,Economy,3183,Wallet,Online,Confirmed,,4
BKG100025,02-03-2023,10-04-2023,39,BOM,MAA,IndiGo,6E791,1030,Senior,Economy,4002,UPI,Online,Cancelled,Found better deal,
BKG100026,19-04-2023,17-06-2023,59,BOM,BLR,GoAir,G8761,980,Child,Economy,3859,Card,Online,Confirmed,,1
BKG100027,30-01-2023,15-04-2023,75,BLR,BOM,SpiceJet,SG237,980,Senior,Economy,2834,UPI,Airline App,Confirmed,,1
BKG100028,23-03-2023,23-05-2023,61,BOM,BLR,GoAir,G8146,980,Child,Business,5500,UPI,Online,Confirmed,,4
BKG100029,26-06-2023,22-08-2023,57,MAA,DEL,IndiGo,6E387,1750,Adult,Business,12192,Netbanking,Airline App,Confirmed,,2
BKG100030,19-01-2023,21-01-2023,2,BOM,MAA,GoAir,G8371,1030,Senior,Business,7019,Wallet,Travel Agent,Confirmed,,4
BKG100031,06-01-2023,15-03-2023,68,BOM,BLR,SpiceJet,SG539,980,Child,Business,5572,Cash,Online,Confirmed,,3
BKG100032,15-04-2023,21-06-2023,67,BOM,MAA,GoAir,G8824,1030,Adult,Economy,3466,Netbanking,Travel Agent,Confirmed,,5
BKG100033,16-06-2023,18-06-2023,2,DEL,BOM,SpiceJet,SG207,1150,Child,Economy,3293,Cash,Airline App,Cancelled,Health issues,
BKG100034,31-03-2023,05-04-2023,5,BOM,DEL,GoAir,G8898,1150,Adult,Economy,4379,Cash,Travel Agent,Confirmed,,2
BKG100035,06-02-2023,13-04-2023,66,MAA,DEL,Vistara,UK956,1750,Senior,Economy,5895,Wallet,Travel Agent,Cancelled,Health issues,
BKG100036,21-02-2023,14-04-2023,52,BLR,HYD,Air India,AI604,500,Senior,Economy,1417,Card,Airline App,Confirmed,,4
BKG100037,16-04-2023,18-04-2023,2,BLR,MAA,SpiceJet,SG131,350,Child,Economy,1254,UPI,Airline App,Cancelled,Change in plans,
BKG100038,15-02-2023,11-03-2023,24,BOM,DEL,SpiceJet,SG902,1150,Senior,Business,6454,Card,Airline App,Confirmed,,3
BKG100039,26-03-2023,05-05-2023,40,DEL,MAA,Air India,AI498,1750,Child,Economy,5436,Wallet,Online,Confirmed,,3
BKG100040,16-06-2023,08-08-2023,53,MAA,HYD,SpiceJet,SG895,630,Senior,Business,3882,Wallet,Online,Confirmed,,3
BKG100041,07-06-2023,03-07-2023,26,MAA,DEL,Air India,AI342,1750,Senior,Economy,5235,Card,Travel Agent,Confirmed,,4
BKG100042,18-06-2023,29-06-2023,11,BOM,DEL,Akasa,QP140,1150,Senior,Economy,3900,Card,Airline App,Cancelled,Found better deal,
BKG100043,14-06-2023,21-07-2023,37,MAA,HYD,SpiceJet,SG391,630,Adult,Business,3782,Wallet,Travel Agent,Confirmed,,5
BKG100044,12-02-2023,26-04-2023,73,BLR,MAA,IndiGo,6E375,350,Senior,Economy,1129,Card,Travel Agent,Confirmed,,4
BKG100045,20-06-2023,13-09-2023,85,MAA,BLR,SpiceJet,SG351,350,Child,Economy,1212,UPI,Online,Cancelled,Change in plans,
BKG100046,17-01-2023,02-04-2023,75,BLR,HYD,GoAir,G8613,500,Senior,Economy,1641,Netbanking,Travel Agent,Confirmed,,5
BKG100047,22-05-2023,13-07-2023,52,BOM,DEL,GoAir,G8325,1150,Adult,Economy,3845,Wallet,Travel Agent,Confirmed,,5
BKG100048,30-04-2023,06-07-2023,67,BLR,MAA,SpiceJet,SG578,350,Senior,Economy,898,Cash,Travel Agent,Confirmed,,5
BKG100049,26-06-2023,21-08-2023,56,BOM,MAA,Air India,AI367,1030,Child,Economy,3835,Netbanking,Travel Agent,Cancelled,Health issues,
BKG100050,08-02-2023,19-04-2023,70,DEL,HYD,SpiceJet,SG491,1260,Child,Economy,4998,Netbanking,Travel Agent,Confirmed,,2
BKG100051,05-05-2023,25-07-2023,81,DEL,BLR,GoAir,G8643,1740,Senior,Business,10054,Netbanking,Airline App,Confirmed,,2
BKG100052,23-06-2023,05-08-2023,43,BLR,HYD,Air India,AI746,500,Adult,First,4924,Cash,Online,Confirmed,,4
BKG100053,08-04-2023,07-05-2023,29,DEL,MAA,Air India,AI706,1750,Adult,Economy,6376,Netbanking,Airline App,Cancelled,Change in plans,
BKG100054,11-01-2023,04-04-2023,83,BLR,MAA,IndiGo,6E505,350,Senior,Economy,1280,Cash,Airline App,Confirmed,,3
BKG100055,03-05-2023,22-07-2023,80,MAA,BOM,SpiceJet,SG536,1030,Senior,Economy,2704,Cash,Airline App,Confirmed,,3
BKG100056,26-04-2023,06-05-2023,10,MAA,BOM,Akasa,QP273,1030,Senior,Economy,3775,Card,Online,Confirmed,,1
BKG100057,12-05-2023,23-05-2023,11,BLR,BOM,IndiGo,6E768,980,Senior,Business,5561,UPI,Travel Agent,Confirmed,,4
BKG100058,06-06-2023,29-06-2023,23,BLR,HYD,GoAir,G8664,500,Adult,Business,2830,Card,Travel Agent,Confirmed,,3
BKG100059,01-02-2023,29-03-2023,56,HYD,BOM,SpiceJet,SG644,710,Child,Economy,2273,Wallet,Online,Confirmed,,2
BKG100060,19-06-2023,12-09-2023,85,MAA,HYD,Akasa,QP556,630,Child,Economy,1848,Netbanking,Online,Confirmed,,5
BKG100061,31-03-2023,31-05-2023,61,DEL,HYD,GoAir,G8206,1260,Senior,Economy,3618,Netbanking,Airline App,Confirmed,,5
BKG100062,06-02-2023,01-04-2023,54,HYD,BOM,Air India,AI961,710,Adult,Business,3614,Card,Airline App,Confirmed,,3
BKG100063,27-02-2023,22-04-2023,54,MAA,HYD,Akasa,QP336,630,Senior,Economy,1840,Cash,Online,Confirmed,,5
BKG100064,10-02-2023,02-05-2023,81,MAA,DEL,SpiceJet,SG679,1750,Child,Economy,4525,Cash,Travel Agent,Confirmed,,2
BKG100065,04-02-2023,07-04-2023,62,BOM,BLR,IndiGo,6.00E+241,980,Adult,Economy,3274,Cash,Travel Agent,Confirmed,,1
BKG100066,21-01-2023,09-03-2023,47,BLR,DEL,Vistara,UK533,1740,Child,Economy,6760,Card,Online,Confirmed,,4
BKG100067,12-04-2023,19-05-2023,37,BLR,DEL,SpiceJet,SG742,1740,Senior,Economy,4781,Cash,Online,Confirmed,,1
BKG100068,08-06-2023,26-06-2023,18,HYD,BLR,Akasa,QP372,500,Child,Economy,1470,Netbanking,Travel Agent,Confirmed,,3
BKG100069,27-05-2023,20-07-2023,54,HYD,BOM,Akasa,QP717,710,Child,Economy,1992,Card,Online,Confirmed,,4
BKG100070,08-06-2023,26-08-2023,79,BOM,DEL,Vistara,UK103,1150,Senior,Economy,3958,Card,Online,Confirmed,,4
BKG100071,22-03-2023,23-05-2023,62,HYD,MAA,SpiceJet,SG112,630,Adult,Economy,1850,Netbanking,Travel Agent,Cancelled,Found better deal,
BKG100072,14-05-2023,18-07-2023,65,HYD,BLR,GoAir,G8419,500,Senior,Economy,1389,Netbanking,Travel Agent,Confirmed,,5
BKG100073,12-02-2023,09-05-2023,86,BLR,MAA,SpiceJet,SG890,350,Child,Economy,983,UPI,Travel Agent,Confirmed,,4
BKG100074,31-03-2023,06-05-2023,36,HYD,BLR,SpiceJet,SG698,500,Adult,Economy,1970,Cash,Travel Agent,Confirmed,,2
BKG100075,22-05-2023,15-08-2023,85,BLR,BOM,GoAir,G8530,980,Senior,Economy,2867,Card,Online,Pending,,
BKG100076,14-06-2023,10-08-2023,57,HYD,MAA,Akasa,QP905,630,Senior,Business,4263,Netbanking,Online,Confirmed,,2
BKG100077,19-05-2023,31-07-2023,73,BOM,DEL,IndiGo,6E762,1150,Child,Business,6526,UPI,Travel Agent,Confirmed,,4
BKG100078,01-05-2023,02-07-2023,62,BLR,DEL,Vistara,UK171,1740,Adult,Economy,5166,UPI,Airline App,Confirmed,,3
BKG100079,13-05-2023,21-05-2023,8,HYD,MAA,Vistara,UK763,630,Child,Business,3441,Wallet,Online,Confirmed,,5
BKG100080,05-03-2023,01-06-2023,88,MAA,DEL,Akasa,QP689,1750,Senior,Economy,5185,Netbanking,Travel Agent,Cancelled,High ticket price,
BKG100081,17-02-2023,22-02-2023,5,DEL,BOM,Air India,AI309,1150,Senior,Economy,4463,Cash,Travel Agent,Confirmed,,5
BKG100082,09-02-2023,10-04-2023,60,HYD,BLR,GoAir,G8911,500,Child,Economy,1660,Card,Online,Confirmed,,1
BKG100083,04-06-2023,10-06-2023,6,BLR,DEL,IndiGo,6E378,1740,Child,Economy,4750,UPI,Online,Pending,,
BKG100084,19-04-2023,26-06-2023,68,MAA,DEL,Air India,AI513,1750,Adult,Economy,6753,Card,Travel Agent,Confirmed,,4
BKG100085,18-01-2023,29-03-2023,70,DEL,MAA,Vistara,UK174,1750,Child,Economy,5902,Netbanking,Travel Agent,Confirmed,,1
BKG100086,17-05-2023,01-06-2023,15,DEL,BLR,Akasa,QP520,1740,Adult,Economy,6811,Cash,Online,Cancelled,Other,
BKG100087,01-01-2023,05-02-2023,35,DEL,BLR,Vistara,UK216,1740,Adult,Business,9780,Wallet,Airline App,Confirmed,,4
BKG100088,26-05-2023,23-06-2023,28,MAA,HYD,Vistara,UK691,630,Adult,Economy,2120,Wallet,Airline App,Confirmed,,3
BKG100089,10-04-2023,22-04-2023,12,BOM,HYD,Akasa,QP281,710,Child,Economy,2111,Cash,Airline App,Confirmed,,2
BKG100090,07-01-2023,20-01-2023,13,BLR,MAA,IndiGo,6.00E+161,350,Child,Economy,1231,UPI,Travel Agent,Confirmed,,3
BKG100091,18-01-2023,16-04-2023,88,BOM,DEL,SpiceJet,SG887,1150,Senior,Economy,4427,UPI,Online,Confirmed,,1
BKG100092,07-03-2023,14-05-2023,68,MAA,HYD,Vistara,UK813,630,Senior,Economy,1756,Netbanking,Travel Agent,Confirmed,,4
BKG100093,03-06-2023,31-07-2023,58,HYD,DEL,SpiceJet,SG690,1260,Child,Business,8541,Card,Airline App,Confirmed,,1
BKG100094,17-06-2023,28-08-2023,72,BOM,BLR,GoAir,G8298,980,Senior,Economy,3810,Netbanking,Airline App,Confirmed,,4
BKG100095,10-04-2023,28-04-2023,18,MAA,HYD,IndiGo,6E915,630,Senior,Business,3806,Wallet,Online,Confirmed,,2
BKG100096,01-04-2023,20-06-2023,80,HYD,BOM,Akasa,QP503,710,Senior,Economy,2760,Wallet,Airline App,Pending,,
BKG100097,13-03-2023,19-05-2023,67,BLR,HYD,Vistara,UK246,500,Child,Economy,1887,Card,Online,Confirmed,,2
BKG100098,09-03-2023,25-05-2023,77,MAA,DEL,GoAir,G8221,1750,Senior,Economy,6245,Wallet,Online,Confirmed,,4
BKG100099,28-06-2023,30-06-2023,2,DEL,HYD,Air India,AI477,1260,Child,Business,7994,Cash,Online,Pending,,
BKG100100,20-06-2023,30-08-2023,71,MAA,BOM,IndiGo,6.00E+173,1030,Senior,Economy,3959,Wallet,Airline App,Confirmed,,4
BKG100101,12-05-2023,10-07-2023,59,DEL,HYD,GoAir,G8280,1260,Senior,Economy,3746,Card,Travel Agent,Confirmed,,2
BKG100102,24-05-2023,16-07-2023,53,MAA,DEL,IndiGo,6E871,1750,Adult,Economy,4487,UPI,Online,Confirmed,,3
BKG100103,12-06-2023,28-08-2023,77,HYD,MAA,Vistara,UK793,630,Adult,Business,3150,UPI,Airline App,Confirmed,,4
BKG100104,13-06-2023,16-08-2023,64,DEL,BOM,Vistara,UK234,1150,Child,Business,6430,Netbanking,Travel Agent,Cancelled,Change in plans,
BKG100105,13-01-2023,12-02-2023,30,DEL,BLR,GoAir,G8269,1740,Child,Economy,4917,Netbanking,Travel Agent,Cancelled,Found better deal,
BKG100106,23-04-2023,18-06-2023,56,BLR,HYD,Vistara,UK359,500,Adult,Business,3477,Card,Online,Cancelled,Other,
BKG100107,11-02-2023,27-03-2023,44,HYD,MAA,Akasa,QP838,630,Senior,Economy,1844,Netbanking,Travel Agent,Confirmed,,1
BKG100108,30-05-2023,21-06-2023,22,BLR,HYD,SpiceJet,SG276,500,Senior,Economy,1945,Card,Airline App,Confirmed,,5
BKG100109,20-01-2023,24-02-2023,35,BOM,HYD,SpiceJet,SG447,710,Senior,Economy,1827,Card,Travel Agent,Confirmed,,5
BKG100110,18-03-2023,14-06-2023,88,BOM,DEL,Air India,AI173,1150,Adult,Economy,3729,Netbanking,Travel Agent,Cancelled,Health issues,
BKG100111,10-01-2023,20-02-2023,41,BLR,BOM,Air India,AI482,980,Child,Economy,3199,Cash,Airline App,Cancelled,Change in plans,
BKG100112,23-02-2023,09-05-2023,75,DEL,BLR,SpiceJet,SG117,1740,Adult,Economy,6576,Cash,Online,Pending,,
BKG100113,25-01-2023,21-04-2023,86,BOM,MAA,IndiGo,6E729,1030,Adult,Business,5855,Cash,Airline App,Confirmed,,5
BKG100114,20-02-2023,09-04-2023,48,BLR,DEL,GoAir,G8713,1740,Child,Economy,5556,Wallet,Travel Agent,Pending,,
BKG100115,27-04-2023,15-06-2023,49,BLR,DEL,SpiceJet,SG702,1740,Adult,Economy,5327,Netbanking,Travel Agent,Confirmed,,4
BKG100116,18-02-2023,08-03-2023,18,HYD,BOM,IndiGo,6E644,710,Adult,Economy,1836,Card,Online,Cancelled,Found better deal,
BKG100117,23-04-2023,02-07-2023,70,BOM,HYD,Akasa,QP399,710,Adult,Business,3901,Cash,Travel Agent,Confirmed,,3
BKG100118,20-06-2023,29-07-2023,39,BOM,DEL,IndiGo,6E927,1150,Adult,Economy,3623,Wallet,Airline App,Confirmed,,4
BKG100119,25-02-2023,17-05-2023,81,BOM,MAA,Akasa,QP892,1030,Adult,Economy,3355,Card,Airline App,Pending,,
BKG100120,05-04-2023,12-05-2023,37,BLR,MAA,Air India,AI784,350,Senior,Economy,1194,Netbanking,Online,Confirmed,,4
BKG100121,15-05-2023,04-07-2023,50,BLR,BOM,SpiceJet,SG141,980,Adult,Economy,3601,UPI,Online,Confirmed,,4
BKG100122,29-06-2023,13-09-2023,76,MAA,DEL,SpiceJet,SG427,1750,Senior,First,15018,UPI,Online,Confirmed,,4
BKG100123,11-05-2023,05-07-2023,55,BOM,DEL,SpiceJet,SG240,1150,Senior,Economy,4282,Wallet,Travel Agent,Confirmed,,4
BKG100124,25-05-2023,08-07-2023,44,HYD,MAA,Air India,AI272,630,Child,Economy,1652,Card,Travel Agent,Confirmed,,1
BKG100125,29-03-2023,27-04-2023,29,HYD,MAA,IndiGo,6E701,630,Child,Economy,1819,Card,Online,Confirmed,,1
BKG100126,14-03-2023,12-06-2023,90,MAA,BLR,Air India,AI492,350,Child,Business,2208,Wallet,Online,Confirmed,,4
BKG100127,25-04-2023,22-07-2023,88,BOM,DEL,SpiceJet,SG283,1150,Child,Economy,3428,Card,Travel Agent,Confirmed,,4
BKG100128,30-04-2023,10-06-2023,41,DEL,HYD,SpiceJet,SG772,1260,Adult,Economy,3238,Cash,Travel Agent,Confirmed,,2
BKG100129,20-01-2023,22-02-2023,33,MAA,HYD,Vistara,UK799,630,Adult,Business,3475,Card,Airline App,Confirmed,,2
BKG100130,14-05-2023,27-05-2023,13,HYD,BLR,Vistara,UK652,500,Senior,Economy,1949,UPI,Airline App,Cancelled,Change in plans,
BKG100131,22-06-2023,27-06-2023,5,HYD,BLR,GoAir,G8100,500,Senior,Business,3125,Netbanking,Airline App,Confirmed,,4
BKG100132,01-05-2023,16-07-2023,76,BOM,BLR,Air India,AI124,980,Child,First,9226,Netbanking,Travel Agent,Confirmed,,3
BKG100133,28-06-2023,07-07-2023,9,MAA,HYD,Air India,AI647,630,Senior,Economy,1592,Cash,Airline App,Confirmed,,4
BKG100134,21-02-2023,05-04-2023,43,MAA,HYD,Akasa,QP686,630,Adult,First,5421,UPI,Airline App,Cancelled,Found better deal,
BKG100135,15-01-2023,22-02-2023,38,BOM,HYD,IndiGo,6.00E+193,710,Child,Economy,2273,Card,Travel Agent,Confirmed,,5
BKG100136,15-03-2023,04-06-2023,81,HYD,BLR,Akasa,QP462,500,Senior,Business,3382,Netbanking,Online,Confirmed,,3
BKG100137,30-03-2023,01-05-2023,32,BOM,DEL,SpiceJet,SG168,1150,Senior,Economy,3131,Wallet,Airline App,Confirmed,,1
BKG100138,02-04-2023,09-06-2023,68,HYD,DEL,Vistara,UK989,1260,Adult,Economy,3325,Wallet,Airline App,Confirmed,,2
BKG100139,29-01-2023,14-02-2023,16,MAA,BOM,GoAir,G8333,1030,Senior,Business,6950,Netbanking,Travel Agent,Confirmed,,2
BKG100140,10-01-2023,16-03-2023,65,BOM,DEL,SpiceJet,SG824,1150,Adult,Economy,4222,Netbanking,Travel Agent,Confirmed,,1
BKG100141,18-04-2023,25-04-2023,7,BOM,MAA,IndiGo,6E387,1030,Senior,Business,5624,Wallet,Travel Agent,Confirmed,,4
BKG100142,23-03-2023,29-05-2023,67,HYD,BOM,Air India,AI802,710,Child,Economy,2691,Card,Airline App,Confirmed,,5
BKG100143,07-05-2023,19-07-2023,73,HYD,DEL,Vistara,UK332,1260,Adult,Business,7677,UPI,Airline App,Pending,,
BKG100144,10-03-2023,05-05-2023,56,HYD,DEL,Air India,AI454,1260,Senior,First,11739,Wallet,Airline App,Confirmed,,5
BKG100145,20-05-2023,03-08-2023,75,BLR,MAA,Vistara,UK449,350,Child,Business,1937,Cash,Travel Agent,Cancelled,Found better deal,
BKG100146,11-01-2023,15-03-2023,63,BOM,HYD,GoAir,G8291,710,Child,Economy,1937,Card,Travel Agent,Confirmed,,2
BKG100147,07-01-2023,17-02-2023,41,HYD,BOM,Vistara,UK301,710,Adult,Economy,2806,UPI,Online,Confirmed,,4
BKG100148,03-02-2023,03-05-2023,89,MAA,HYD,GoAir,G8273,630,Adult,Economy,1637,Wallet,Travel Agent,Confirmed,,2
BKG100149,30-06-2023,13-09-2023,75,BLR,MAA,Air India,AI979,350,Child,Economy,1378,Wallet,Online,Confirmed,,3
BKG100150,29-01-2023,13-04-2023,74,HYD,BLR,Vistara,UK516,500,Adult,Business,3396,Netbanking,Travel Agent,Confirmed,,3
BKG100151,11-05-2023,13-06-2023,33,BOM,HYD,IndiGo,6E762,710,Adult,Business,4699,Wallet,Online,Confirmed,,4
BKG100152,30-04-2023,07-06-2023,38,BLR,HYD,GoAir,G8990,500,Senior,Economy,1291,Cash,Travel Agent,Cancelled,High ticket price,
BKG100153,18-02-2023,30-03-2023,40,BLR,HYD,IndiGo,6E781,500,Child,First,4733,UPI,Airline App,Confirmed,,3
BKG100154,01-05-2023,29-05-2023,28,BLR,BOM,GoAir,G8866,980,Senior,Economy,3434,UPI,Travel Agent,Confirmed,,2
BKG100155,17-06-2023,07-07-2023,20,HYD,DEL,GoAir,G8923,1260,Senior,Economy,4545,Card,Airline App,Pending,,
BKG100156,14-04-2023,13-07-2023,90,BOM,BLR,Air India,AI499,980,Senior,Economy,3875,Wallet,Online,Confirmed,,1
BKG100157,11-03-2023,18-03-2023,7,DEL,HYD,SpiceJet,SG610,1260,Senior,Economy,3512,Netbanking,Airline App,Cancelled,Found better deal,
BKG100158,04-02-2023,09-04-2023,64,DEL,HYD,Akasa,QP512,1260,Adult,Economy,3242,Card,Travel Agent,Cancelled,Found better deal,
BKG100159,15-01-2023,15-03-2023,59,DEL,MAA,SpiceJet,SG392,1750,Senior,First,14512,UPI,Airline App,Confirmed,,4
BKG100160,12-04-2023,09-05-2023,27,MAA,BLR,SpiceJet,SG908,350,Adult,First,3000,Wallet,Online,Cancelled,Health issues,
BKG100161,30-05-2023,10-06-2023,11,BOM,MAA,Vistara,UK120,1030,Senior,Business,5678,UPI,Online,Confirmed,,1
BKG100162,13-05-2023,23-06-2023,41,DEL,MAA,Akasa,QP760,1750,Child,Economy,5114,Netbanking,Airline App,Confirmed,,2
BKG100163,14-01-2023,27-03-2023,72,MAA,HYD,SpiceJet,SG449,630,Senior,Economy,1866,Netbanking,Online,Confirmed,,3
BKG100164,31-01-2023,18-04-2023,77,HYD,BLR,Air India,AI151,500,Child,Economy,1602,Netbanking,Airline App,Confirmed,,1
BKG100165,29-03-2023,14-04-2023,16,BLR,BOM,IndiGo,6E786,980,Child,Economy,3540,Cash,Online,Confirmed,,1
BKG100166,24-06-2023,09-08-2023,46,HYD,BOM,GoAir,G8953,710,Adult,Economy,2398,Wallet,Airline App,Confirmed,,5
BKG100167,22-06-2023,20-07-2023,28,BLR,DEL,Akasa,QP734,1740,Adult,Business,10405,Netbanking,Airline App,Cancelled,Change in plans,
BKG100168,26-02-2023,22-03-2023,24,HYD,MAA,GoAir,G8281,630,Child,Economy,1611,Wallet,Online,Cancelled,Health issues,
BKG100169,06-06-2023,04-08-2023,59,HYD,BLR,Vistara,UK868,500,Adult,Business,2846,Wallet,Travel Agent,Confirmed,,2
BKG100170,02-01-2023,22-03-2023,79,BOM,HYD,IndiGo,6E343,710,Senior,Economy,1873,Card,Online,Cancelled,Other,
BKG100171,07-06-2023,21-06-2023,14,BLR,DEL,GoAir,G8346,1740,Adult,Economy,5506,Cash,Airline App,Confirmed,,2
BKG100172,09-05-2023,20-05-2023,11,HYD,BOM,IndiGo,6E819,710,Child,Business,4787,Cash,Airline App,Cancelled,Health issues,
BKG100173,20-03-2023,03-05-2023,44,HYD,MAA,Vistara,UK623,630,Adult,Economy,1847,Cash,Airline App,Confirmed,,4
BKG100174,27-03-2023,24-05-2023,58,HYD,DEL,Air India,AI598,1260,Adult,Economy,3190,Netbanking,Airline App,Confirmed,,1
BKG100175,22-02-2023,05-05-2023,72,BOM,DEL,GoAir,G8806,1150,Child,Economy,3004,Cash,Online,Confirmed,,2
BKG100176,06-01-2023,14-01-2023,8,MAA,HYD,Akasa,QP536,630,Child,Business,4264,Cash,Travel Agent,Confirmed,,3
BKG100177,04-01-2023,07-02-2023,34,HYD,BOM,IndiGo,6E350,710,Adult,Economy,2100,Netbanking,Travel Agent,Confirmed,,4
BKG100178,23-03-2023,01-05-2023,39,BLR,HYD,IndiGo,6E778,500,Adult,Economy,1424,UPI,Online,Confirmed,,2
BKG100179,23-05-2023,02-07-2023,40,BLR,MAA,GoAir,G8849,350,Senior,Business,2143,Netbanking,Online,Confirmed,,4
BKG100180,12-01-2023,26-03-2023,73,BLR,DEL,Air India,AI135,1740,Child,Business,8707,Card,Airline App,Cancelled,Found better deal,
BKG100181,03-01-2023,08-03-2023,64,DEL,MAA,GoAir,G8626,1750,Child,Economy,6722,Wallet,Travel Agent,Cancelled,High ticket price,
BKG100182,02-06-2023,19-08-2023,78,DEL,BLR,SpiceJet,SG611,1740,Senior,Economy,6185,Cash,Online,Confirmed,,5
BKG100183,01-03-2023,02-03-2023,1,HYD,BLR,GoAir,G8691,500,Senior,First,3605,Netbanking,Travel Agent,Cancelled,High ticket price,
BKG100184,01-01-2023,25-01-2023,24,BOM,BLR,GoAir,G8679,980,Senior,Economy,3577,Cash,Online,Confirmed,,3
BKG100185,11-05-2023,29-06-2023,49,DEL,BLR,IndiGo,6.00E+280,1740,Child,Business,11237,Wallet,Online,Confirmed,,4
BKG100186,17-02-2023,28-03-2023,39,DEL,MAA,Akasa,QP278,1750,Adult,First,14152,Wallet,Online,Confirmed,,4
BKG100187,15-02-2023,09-03-2023,22,DEL,BOM,SpiceJet,SG320,1150,Adult,Economy,3179,Netbanking,Online,Confirmed,,3
BKG100188,01-02-2023,21-02-2023,20,BOM,HYD,Akasa,QP328,710,Adult,Economy,2394,Netbanking,Travel Agent,Confirmed,,5
BKG100189,24-04-2023,10-06-2023,47,MAA,BLR,Vistara,UK905,350,Senior,Economy,913,Card,Travel Agent,Confirmed,,5
BKG100190,11-01-2023,10-02-2023,30,DEL,BLR,GoAir,G8839,1740,Child,Economy,5534,Card,Online,Confirmed,,5
BKG100191,07-02-2023,21-03-2023,42,MAA,HYD,Air India,AI124,630,Child,Economy,2343,Wallet,Travel Agent,Confirmed,,2
BKG100192,24-06-2023,08-08-2023,45,DEL,BLR,Vistara,UK593,1740,Child,Business,8861,Wallet,Airline App,Confirmed,,3
